2016,7,29
2016,7,28
2016,7,27
2016,7,26
2016,7,25
2016,7,22
2016,7,21
2016,7,20
2016,7,19
2016,7,18
2016,7,15
2016,7,14
2016,7,13
2016,7,12
2016,7,11
2016,7,8
2016,7,7
2016,7,5
2016,7,4
2016,7,1
2016,6,30
2016,6,29
2016,6,28
2016,6,27
2016,6,24
2016,6,23
2016,6,22
2016,6,21
2016,6,20
2016,6,17
2016,6,16
2016,6,15
2016,6,14
2016,6,13
2016,6,10
2016,6,9
2016,6,8
2016,6,7
2016,6,6
2016,6,3
2016,6,2
2016,6,1
2016,5,31
2016,5,30
2016,5,27
2016,5,26
2016,5,25
2016,5,24
2016,5,23
2016,5,20
2016,5,19
2016,5,18
2016,5,17
2016,5,16
2016,5,13
2016,5,12
2016,5,11
2016,5,10
2016,5,9
2016,5,6
2016,5,5
2016,5,4
2016,5,3
2016,5,2
2016,4,29
2016,4,28
2016,4,27
2016,4,26
2016,4,25
2016,4,22
2016,4,21
2016,4,20
2016,4,18
2016,4,13
2016,4,12
2016,4,11
2016,4,8
2016,4,7
2016,4,6
2016,4,5
2016,4,4
2016,4,1
2016,3,31
2016,3,30
2016,3,29
2016,3,38
2016,3,23
2016,3,22
2016,3,21
2016,3,18
2016,3,17
2016,3,16
2016,3,15
2016,3,14
2016,3,11
2016,3,10
2016,3,9
2016,3,8
2016,3,4
2016,3,3
2016,3,2
2016,3,1
2016,2,29
2016,2,26
2016,2,25
2016,2,24
2016,2,23
2016,2,22
2016,2,19
2016,2,18
2016,2,17
2016,2,16
2016,2,15
2016,2,12
2016,2,11
2016,2,10
2016,2,9
2016,2,8
2016,2,5
2016,2,4
2016,2,3
2016,2,2
2016,2,1
2016,1,29
2016,1,28
2016,1,27
2016,1,25
2016,1,22
2016,1,21
2016,1,20
2016,1,19
2016,1,18
2016,1,15
2016,1,14
2016,1,13
2016,1,12
2016,1,11
2016,1,8
2016,1,7
2016,1,6
2016,1,5
2016,1,4
2016,1,1
2015,12,31
2015,12,30
2015,12,29
2015,12,28
2015,12,24
2015,12,23
2015,12,22
2015,12,21
2015,12,18
2015,12,17
2015,12,16
2015,12,15
2015,12,14
2015,12,11
2015,12,10
2015,12,9
2015,12,8
2015,12,7
2015,12,4
2015,12,3
2015,12,2
2015,12,1
